天津卫视HD,http://111.197.130.1:1314/rtp/239.3.1.141:1234,0.9597
密云电视台HD,http://114.252.117.249:7000/rtp/239.3.1.154:8001,0.9593
CCTV-1,http://120.245.137.146:4022/udp/228.1.1.28:8008,0.9592
CCTV-1 HD,http://123.120.11.201:4022/rtp/239.3.1.129:8008,0.9588
金鹰纪实HD,http://124.65.5.85:20000/rtp/239.3.1.58:8156,0.9588
广东卫视HD,http://123.122.163.122:19999/rtp/239.3.1.142:8048,0.9587
广东卫视HD,http://111.201.162.131:10000/rtp/239.3.1.142:8048,0.9587
贵州卫视HD,http://124.65.5.85:20000/rtp/239.3.1.149:8076,0.9584
CCTV-7 HD,http://123.122.163.122:19999/rtp/239.3.1.61:8104,0.9582
CCTV-1 HD,http://124.64.236.210:8012/rtp/239.3.1.129:8008,0.958
天津卫视,http://120.245.137.146:4022/udp/228.1.1.15:1234,0.9579
河北卫视HD,http://123.122.163.122:19999/rtp/239.3.1.148:8072,0.9579
CCTV-1 HD,http://111.197.130.1:1314/rtp/239.3.1.129:8008,0.9578
金鹰纪实HD,http://114.246.103.25:4000/rtp/239.3.1.58:8156,0.9575
河北卫视HD,http://123.120.11.201:4022/rtp/239.3.1.148:8072,0.9575
河北卫视HD,http://114.246.103.25:4000/rtp/239.3.1.148:8072,0.9574
CCTV-4 HD,http://123.120.11.201:4022/rtp/239.3.1.105:8092,0.9574
重庆卫视HD,http://123.122.163.122:19999/rtp/239.3.1.122:8160,0.9572
广东卫视HD,http://123.120.11.201:4022/rtp/239.3.1.142:8048,0.9572
辽宁卫视HD,http://123.120.11.201:4022/rtp/239.3.1.210:8056,0.9572
安徽卫视HD,http://124.65.5.85:20000/rtp/239.3.1.211:8064,0.9572
贵州卫视HD,http://111.197.130.1:1314/rtp/239.3.1.149:8076,0.9572
CCTV-4 HD,http://124.64.236.210:8012/rtp/239.3.1.105:8092,0.9571
安徽卫视HD,http://111.197.130.1:1314/rtp/239.3.1.211:8064,0.9571
CCTV-15 HD,http://123.122.163.122:19999/rtp/239.3.1.153:8136,0.957
CCTV-4 中文国际 欧洲HD,http://111.193.234.141:8888/rtp/239.3.1.213:4220,0.957
浙江卫视HD,http://123.120.11.201:4022/rtp/239.3.1.137:8036,0.957
河北卫视HD,http://111.196.131.148:20000/rtp/239.3.1.148:8072,0.957
CCTV-1 HD,http://123.122.163.122:19999/rtp/239.3.1.129:8008,0.9569
广东卫视HD,http://111.196.131.148:20000/rtp/239.3.1.142:8048,0.9569
CCTV-2 HD,http://123.120.11.201:4022/rtp/239.3.1.60:8084,0.9568
湖南卫视HD,http://123.120.11.201:4022/rtp/239.3.1.132:8012,0.9568
贵州卫视,http://120.245.137.146:4022/udp/228.1.1.188:8076,0.9564
CCTV-14 HD,http://123.122.163.122:19999/rtp/239.3.1.65:8132,0.9564
浙江卫视HD,http://123.122.163.122:19999/rtp/239.3.1.137:8036,0.9564
辽宁卫视HD,http://123.122.163.122:19999/rtp/239.3.1.210:8056,0.9564
茶频道HD,http://111.193.234.141:8888/rtp/239.3.1.165:8001,0.9564
贵州卫视HD,http://yfaqkkms.zzmd.fun:8888/rtp/239.3.1.149:8076,0.9564
吉林卫视HD,http://123.120.11.201:4022/rtp/239.3.1.240:8172,0.9563
CCTV-4 中文国际 欧洲HD,http://123.120.11.201:4022/rtp/239.3.1.213:4220,0.9563
CCTV-13 HD,http://124.65.5.85:20000/rtp/239.3.1.124:8128,0.9563
重庆卫视HD,http://123.120.11.201:4022/rtp/239.3.1.122:8160,0.9562
江西卫视HD,http://123.120.11.201:4022/rtp/239.3.1.123:8164,0.9562
CGTN 记录HD,http://123.120.11.201:4022/rtp/239.3.1.216:4220,0.9562
CGTN 阿拉伯语HD,http://123.120.11.201:4022/rtp/239.3.1.219:4220,0.9562
CGTN 俄语HD,http://123.122.161.121:19999/rtp/239.3.1.220:4220,0.9562
湖南卫视HD,http://123.122.161.121:19999/rtp/239.3.1.132:8012,0.9561
CCTV-4,http://120.245.137.146:4022/udp/228.1.1.25:8092,0.9559
天津卫视HD,http://111.196.185.170:5555/rtp/239.3.1.141:1234,0.9559
湖南卫视HD,http://bplwberp.zzmd.fun:8888/rtp/239.3.1.132:8012,0.9558
CCTV-2 HD,http://123.122.163.122:19999/rtp/239.3.1.60:8084,0.9554
CCTV-2 HD,http://124.64.236.210:8012/rtp/239.3.1.60:8084,0.9554
CCTV-12 HD,http://123.122.161.121:19999/rtp/239.3.1.64:8124,0.9554
CCTV-1 HD,http://123.121.216.27:8180/rtp/239.3.1.129:8008,0.9553
CCTV-12 HD,http://123.122.163.122:19999/rtp/239.3.1.64:8124,0.9552
黑龙江卫视HD,http://111.196.131.148:20000/rtp/239.3.1.133:8016,0.9552
CGTN 法语HD,http://111.196.131.148:20000/rtp/239.3.1.218:4220,0.9552
CCTV-1 HD,http://124.65.5.85:20000/rtp/239.3.1.129:8008,0.9551
湖北卫视HD,http://111.196.131.148:20000/rtp/239.3.1.138:8044,0.9551
东南卫视HD,http://bplwberp.zzmd.fun:8888/rtp/239.3.1.156:8148,0.9551
江西卫视HD,http://114.246.103.25:4000/rtp/239.3.1.123:8164,0.955
CCTV-17 HD,http://123.122.163.122:19999/rtp/239.3.1.151:8144,0.955
重庆卫视HD,http://111.201.162.131:10000/rtp/239.3.1.122:8160,0.955
CCTV-2 HD,http://124.65.5.85:20000/rtp/239.3.1.60:8084,0.955
CCTV-13 HD,http://111.196.131.148:20000/rtp/239.3.1.124:8128,0.9549
湖南卫视HD,http://111.196.131.148:20000/rtp/239.3.1.132:8012,0.9549
江西卫视HD,http://123.122.163.122:19999/rtp/239.3.1.123:8164,0.9548
CGTN 新闻HD,http://111.196.185.170:5555/rtp/239.3.1.215:4220,0.9547
CGTN 新闻HD,http://123.122.161.121:19999/rtp/239.3.1.215:4220,0.9547
CCTV-9 HD,http://123.122.163.122:19999/rtp/239.3.1.62:8112,0.9546
CCTV-4 中文国际 美洲HD,http://123.122.163.122:19999/rtp/239.3.1.214:4220,0.9546
江西卫视HD,http://123.121.216.27:8180/rtp/239.3.1.123:8164,0.9546
CCTV-4 中文国际 美洲HD,http://123.120.11.201:4022/rtp/239.3.1.214:4220,0.9545
CCTV-14 HD,http://111.197.130.1:1314/rtp/239.3.1.65:8132,0.9545
江西卫视HD,http://111.196.131.148:20000/rtp/239.3.1.123:8164,0.9545
CCTV-10 HD,http://114.246.103.25:4000/rtp/239.3.1.63:8116,0.9544
吉林卫视HD,http://123.122.163.122:19999/rtp/239.3.1.240:8172,0.9544
CCTV-14 HD,http://124.65.5.85:20000/rtp/239.3.1.65:8132,0.9544
东方卫视HD,http://111.196.131.148:20000/rtp/239.3.1.136:8032,0.9544
安徽卫视,http://120.245.137.146:4022/udp/228.1.1.21:8064,0.9543
CCTV-15 HD,http://sweetown.fun:4000/rtp/239.3.1.153:8136,0.9543
CCTV-13,http://120.245.137.146:4022/udp/228.1.1.212:8128,0.9542
金鹰纪实,http://120.245.137.146:4022/udp/228.1.1.34:8156,0.9542
CGTN 西班牙语HD,http://123.121.216.27:8180/rtp/239.3.1.217:4220,0.9542
CCTV-9 HD,http://114.243.99.54:4000/rtp/239.3.1.62:8112,0.954
金鹰纪实HD,http://111.197.130.1:1314/rtp/239.3.1.58:8156,0.9539
CCTV-4 中文国际 欧洲HD,http://123.122.163.122:19999/rtp/239.3.1.213:4220,0.9538
CCTV-4 HD,http://124.65.5.85:20000/rtp/239.3.1.105:8092,0.9537
CCTV-4 中文国际 美洲HD,http://111.196.131.148:20000/rtp/239.3.1.214:4220,0.9537
CGTN 俄语HD,http://114.246.103.25:4000/rtp/239.3.1.220:4220,0.9536
北京卫视,http://1.203.76.226:7788/udp/225.1.8.21:8002,0.9536
CETV1HD,http://111.197.224.161:4022/rtp/239.3.1.57:8152,0.9536
浙江卫视HD,http://124.65.5.85:20000/rtp/239.3.1.137:8036,0.9535
湖北卫视HD,http://124.65.5.85:20000/rtp/239.3.1.138:8044,0.9535
CETV1HD,http://111.197.130.1:1314/rtp/239.3.1.57:8152,0.9535
CCTV-14 HD,http://111.196.131.148:20000/rtp/239.3.1.65:8132,0.9535
CCTV-15 HD,http://114.246.103.25:4000/rtp/239.3.1.153:8136,0.9534
CCTV-14 HD,http://111.201.162.131:10000/rtp/239.3.1.65:8132,0.9533
湖南卫视HD,http://123.122.163.122:19999/rtp/239.3.1.132:8012,0.9531
湖南卫视HD,http://124.65.5.85:20000/rtp/239.3.1.132:8012,0.9531
CCTV-13 HD,http://111.197.224.161:4022/rtp/239.3.1.124:8128,0.953
CCTV-4 中文国际 欧洲HD,http://111.196.131.148:20000/rtp/239.3.1.213:4220,0.9529
CGTN 阿拉伯语HD,http://123.122.163.122:19999/rtp/239.3.1.219:4220,0.9528
CCTV-5 HD,http://124.64.236.210:8012/rtp/239.3.1.173:8001,0.9528
BRTV体育休闲[超清],http://124.65.5.85:20000/rtp/239.3.1.243:8000,0.9528
东南卫视HD,http://111.196.131.148:20000/rtp/239.3.1.156:8148,0.9528
辽宁卫视HD,http://114.246.103.25:4000/rtp/239.3.1.210:8056,0.9527
黑龙江卫视HD,http://111.197.130.1:1314/rtp/239.3.1.133:8016,0.9527
CCTV-17 HD,http://124.65.5.85:20000/rtp/239.3.1.151:8144,0.9526
江苏卫视HD,http://124.65.5.85:20000/rtp/239.3.1.135:8028,0.9526
CCTV-4 中文国际 美洲HD,http://111.197.130.1:1314/rtp/239.3.1.214:4220,0.9523
CGTN 记录HD,http://124.65.5.85:20000/rtp/239.3.1.216:4220,0.9522
CCTV-15 HD,http://111.196.131.148:20000/rtp/239.3.1.153:8136,0.9522
东南卫视HD,http://124.65.5.85:20000/rtp/239.3.1.156:8148,0.9521
东南卫视HD,http://webmail.axxe.top:4022/rtp/239.3.1.156:8148,0.9521
CCTV-3,http://120.245.137.146:4022/udp/228.1.1.191:8002,0.952
东方卫视HD,http://111.201.162.131:10000/rtp/239.3.1.136:8032,0.952
湖北卫视HD,http://111.201.162.131:10000/rtp/239.3.1.138:8044,0.952
淘精彩HD,http://123.122.163.122:19999/rtp/239.3.1.178:8001,0.9519
CETV1,http://120.245.137.146:4022/udp/228.1.1.32:8152,0.9518
CCTV-12 HD,http://124.65.5.85:20000/rtp/239.3.1.64:8124,0.9518
CCTV-13 HD,http://111.197.130.1:1314/rtp/239.3.1.124:8128,0.9518
CCTV-17,http://120.245.137.146:4022/udp/228.1.1.181:8144,0.9517
重庆卫视HD,http://111.197.130.1:1314/rtp/239.3.1.122:8160,0.9516
淘BabyHD,http://123.122.163.122:19999/rtp/239.3.1.238:8001,0.9515
浙江卫视HD,http://111.197.130.1:1314/rtp/239.3.1.137:8036,0.9515
江西卫视HD,http://111.197.130.1:1314/rtp/239.3.1.123:8164,0.9514
北京影视,http://1.203.76.226:7788/udp/225.1.8.82:8000,0.9513
湖南卫视HD,http://114.243.99.54:4000/rtp/239.3.1.132:8012,0.9512
CCTV-11 HD,http://111.201.162.131:10000/rtp/239.3.1.152:8120,0.9512
BRTV财经HD,http://111.197.130.1:1314/rtp/239.3.1.116:8000,0.9512
CCTV-17 HD,http://111.197.130.1:1314/rtp/239.3.1.151:8144,0.9511
BRTV体育休闲,http://120.245.137.146:4022/udp/228.1.1.117:8000,0.951
淘电影HD,http://123.122.163.122:19999/rtp/239.3.1.250:8001,0.951
中国交通HD,http://111.201.162.131:10000/rtp/239.3.1.188:8001,0.951
广东卫视,http://120.245.137.146:4022/udp/228.1.1.17:8048,0.9509
辽宁卫视HD,http://124.65.5.85:20000/rtp/239.3.1.210:8056,0.9509
CGTN 法语HD,http://111.197.130.1:1314/rtp/239.3.1.218:4220,0.9509
BRTV新闻HD,http://111.197.130.1:1314/rtp/239.3.1.159:8000,0.9507
吉林卫视HD,http://111.197.130.1:1314/rtp/239.3.1.240:8172,0.9507
CGTN 西班牙语,http://120.245.137.146:4022/udp/228.1.1.206:4220,0.9505
CCTV-12 HD,http://111.197.130.1:1314/rtp/239.3.1.64:8124,0.9504
CCTV-8 HD,http://111.197.130.1:1314/rtp/239.3.1.175:8001,0.9503
幸福娱乐,http://1.203.76.226:7788/udp/225.1.8.99:8002,0.9502
金鹰纪实HD,http://111.197.224.161:4022/rtp/239.3.1.58:8156,0.9502
江苏卫视,http://120.245.137.146:4022/udp/228.1.1.37:8028,0.9501
江苏卫视HD,http://111.197.130.1:1314/rtp/239.3.1.135:8028,0.95
CCTV-7 HD,http://sweetown.fun:4000/rtp/239.3.1.61:8104,0.95
CCTV-5+,http://120.245.137.146:4022/udp/228.1.1.23:8004,0.9499
吉林卫视,http://120.245.137.146:4022/udp/228.1.1.214:8172,0.9499
湖北卫视HD,http://111.197.224.161:4022/rtp/239.3.1.138:8044,0.9499
广东卫视HD,http://111.197.130.1:1314/rtp/239.3.1.142:8048,0.9499
CGTN 俄语,http://120.245.137.146:4022/udp/228.1.1.209:4220,0.9496
CCTV-4 HD,http://221.217.169.201:8550/rtp/239.3.1.105:8092,0.9496
BRTV北京卫视HD,http://123.120.11.201:4022/rtp/239.3.1.241:8000,0.9496
BRTV纪实科教HD,http://123.120.11.201:4022/rtp/239.3.1.115:8000,0.9495
BRTV体育休闲[超清],http://123.122.163.122:19999/rtp/239.3.1.243:8000,0.9494
CGTN 记录HD,http://111.197.130.1:1314/rtp/239.3.1.216:4220,0.9494
CCTV-11,http://120.245.137.146:4022/udp/228.1.1.182:8120,0.9493
CGTN 新闻,http://120.245.137.146:4022/udp/228.1.1.204:4220,0.9493
CCTV-9,http://120.245.137.146:4022/udp/228.1.1.27:8112,0.9491
江西卫视,http://120.245.137.146:4022/udp/228.1.1.211:8164,0.9491
CCTV-3 HD,http://123.122.163.122:19999/rtp/239.3.1.172:8001,0.9491
北京财经,http://1.203.76.226:7788/udp/225.1.8.106:8002,0.9491
BRTV影视HD,http://123.122.163.122:19999/rtp/239.3.1.158:8000,0.949
CCTV-1 HD,http://221.217.169.201:8550/rtp/239.3.1.129:8008,0.949
CCTV-9 HD,http://123.120.11.201:4022/rtp/239.3.1.62:8112,0.949
CCTV-8,http://120.245.137.146:4022/udp/228.1.1.194:8002,0.9488
黑龙江卫视,http://120.245.137.146:4022/udp/228.1.1.35:8016,0.9488
CCTV-3 HD,http://124.64.236.210:8012/rtp/239.3.1.172:8001,0.9488
CCTV-7,http://120.245.137.146:4022/udp/228.1.1.26:8104,0.9487
山东卫视,http://120.245.137.146:4022/udp/228.1.1.18:8052,0.9487
CCTV-15 HD,http://111.197.130.1:1314/rtp/239.3.1.153:8136,0.9487
河北卫视,http://120.245.137.146:4022/udp/228.1.1.187:8072,0.9486
CCTV-5 HD,http://123.120.11.201:4022/rtp/239.3.1.173:8001,0.9486
深圳卫视HD,http://yfaqkkms.zzmd.fun:8888/rtp/239.3.1.134:8020,0.9486
CCTV-15,http://120.245.137.146:4022/udp/228.1.1.183:8136,0.9484
纪实人文HD,http://111.193.234.141:8888/rtp/239.3.1.212:8060,0.9484
BRTV卡酷少儿HD,http://123.122.163.122:19999/rtp/239.3.1.189:8000,0.9483
BTV国际频道,http://123.120.11.201:4022/rtp/239.3.1.235:8000,0.9482
CCTV-6 HD,http://123.122.163.122:19999/rtp/239.3.1.174:8001,0.9481
淘剧场HD,http://123.120.11.201:4022/rtp/239.3.1.95:8001,0.9479
CCTV-2,http://120.245.137.146:4022/udp/228.1.1.24:8084,0.9478
CCTV-3 HD,http://123.120.11.201:4022/rtp/239.3.1.172:8001,0.9477
CCTV-7 HD,http://webmail.axxe.top:4022/rtp/239.3.1.61:8104,0.9476
CCTV-12,http://120.245.137.146:4022/udp/228.1.1.30:8124,0.9475
深圳卫视HD,http://111.197.224.161:4022/rtp/239.3.1.134:8020,0.9475
CGTN 新闻HD,http://111.197.130.1:1314/rtp/239.3.1.215:4220,0.9475
BRTV文艺HD,http://123.120.11.201:4022/rtp/239.3.1.242:8000,0.9474
山东卫视HD,http://124.65.5.85:20000/rtp/239.3.1.209:8052,0.9474
东南卫视HD,http://111.197.130.1:1314/rtp/239.3.1.156:8148,0.9474
湖北卫视,http://120.245.137.146:4022/udp/228.1.1.16:8044,0.9473
CCTV-4 中文国际 美洲HD,http://124.65.5.85:20000/rtp/239.3.1.214:4220,0.9468
CCTV-4 HD,http://111.196.131.148:20000/rtp/239.3.1.105:8092,0.9468
BRTV财经HD,http://114.246.103.25:4000/rtp/239.3.1.116:8000,0.9467
CCTV-4美洲,http://120.245.137.146:4022/udp/228.1.1.203:4220,0.9467
萌宠TVHD,http://123.120.11.201:4022/rtp/239.3.1.102:8001,0.9467
CCTV-8 HD,http://123.122.163.122:19999/rtp/239.3.1.175:8001,0.9466
北京文艺,http://1.203.76.226:7788/udp/225.1.8.22:8002,0.9466
CCTV13,http://1.203.76.226:7788/udp/225.1.1.10:8128,0.9466
CCTV-9 HD,http://124.65.5.85:20000/rtp/239.3.1.62:8112,0.9466
BRTV生活HD,http://111.196.131.148:20000/rtp/239.3.1.117:8000,0.9466
纪实人文HD,http://114.252.117.249:7000/rtp/239.3.1.212:8060,0.9466
纪实人文HD,http://123.120.11.201:4022/rtp/239.3.1.212:8060,0.9465
CCTV-1 HD,http://111.196.131.148:20000/rtp/239.3.1.129:8008,0.9465
CCTV-16 奥林匹克HD,http://114.246.103.25:4000/rtp/239.3.1.184:8001,0.9464
浙江卫视,http://120.245.137.146:4022/udp/228.1.1.13:8036,0.9464
CCTV-15 HD,http://111.197.224.161:4022/rtp/239.3.1.153:8136,0.9463
CCTV-10,http://120.245.137.146:4022/udp/228.1.1.29:8116,0.9462
BRTV新闻HD,http://123.122.163.122:19999/rtp/239.3.1.159:8000,0.9462
江西卫视,http://1.203.76.226:7788/udp/225.1.1.9:8164,0.9462
BRTV财经HD,http://sweetown.fun:4000/rtp/239.3.1.116:8000,0.9462
重庆卫视,http://120.245.137.146:4022/udp/228.1.1.210:8160,0.946
BRTV纪实科教HD,http://124.65.5.85:20000/rtp/239.3.1.115:8000,0.946
