央视频道,#genre#
CCTV2,http://114.253.218.94:5400/rtp/239.3.1.60:8084,0.5406
CCTV2,http://123.118.59.198:8888/rtp/239.3.1.60:8084,0.5385
CCTV2,http://125.34.18.98:8888/rtp/239.3.1.60:8084,0.5212
CCTV2,http://123.121.216.27:8180/rtp/239.3.1.60:8084,0.5158
CCTV2,http://111.196.185.170:5555/rtp/239.3.1.60:8084,0.4716
CCTV2,http://114.254.88.16:2222/rtp/239.3.1.60:8084,0.4522
CCTV2,http://1.203.76.226:7788/udp/225.1.8.2:8084,0.4146
CCTV2,http://114.254.81.86:2222/rtp/239.3.1.60:8084,0.3869
CCTV2,http://114.254.81.86:2222/rtp/239.3.1.60:8084,0.3787
CCTV2,http://123.118.59.198:8888/rtp/239.3.1.60:8084,0.3747
CCTV2,http://114.254.86.80:2222/rtp/239.3.1.60:8084,0.3636
CCTV2,http://114.254.88.16:2222/rtp/239.3.1.60:8084,0.3401
CCTV2,http://1.202.9.192:8888/udp/225.1.8.102:8004,0.3197
CCTV2,http://120.244.86.221:9999/udp/228.1.1.24:8084,0.3013
CCTV2,http://114.249.27.188:6000/rtp/239.3.1.60:8084,0.2926
CCTV2,http://125.34.18.98:8888/rtp/239.3.1.60:8084,0.2706
CCTV2,http://1.202.9.192:8888/udp/225.1.8.102:8004,0.2584
CCTV2,http://114.254.86.80:2222/rtp/239.3.1.60:8084,0.2544
CCTV3,http://1.202.9.192:8888/udp/225.1.8.88:8000,0.9512
CCTV3,http://114.254.209.157:8888/rtp/239.3.1.172:8001,0.9512
CCTV3,http://111.192.187.92:8012/rtp/239.3.1.172:8001,0.9505
CCTV3,http://111.192.187.92:8012/rtp/239.3.1.172:8001,0.9496
CCTV3,http://123.113.237.79:8888/rtp/239.3.1.172:8001,0.9493
CCTV3,http://124.64.236.210:8012/rtp/239.3.1.172:8001,0.9493
CCTV3,http://124.64.236.210:8012/rtp/239.3.1.172:8001,0.9488
CCTV3,http://222.129.36.235:9001/rtp/239.3.1.172:8001,0.9486
CCTV3,http://114.254.189.79:9999/rtp/239.3.1.172:8001,0.9484
CCTV3,http://114.243.107.120:4000/rtp/239.3.1.172:8001,0.9477
CCTV3,http://124.65.5.85:20000/rtp/239.3.1.172:8001,0.9477
CCTV3,http://124.65.5.85:20000/rtp/239.3.1.172:8001,0.9473
CCTV3,http://120.244.86.221:9999/udp/228.1.1.191:8002,0.9466
CCTV3,http://221.219.101.215:8012/rtp/239.3.1.172:8001,0.9466
CCTV3,http://114.246.183.121:4022/rtp/239.3.1.172:8001,0.9455
CCTV3,http://222.129.138.133:4088/rtp/239.3.1.172:8001,0.9449
CCTV3,http://111.197.224.161:4022/rtp/239.3.1.172:8001,0.944
CCTV3,http://222.129.138.133:4088/rtp/239.3.1.172:8001,0.944
CCTV3,http://www.ogrehq.com:4022/udp/228.1.1.191:8002,0.944
CCTV3,http://123.113.237.79:8888/rtp/239.3.1.172:8001,0.9439
CCTV3,http://www.ogrehq.com:4022/udp/228.1.1.191:8002,0.9431
CCTV3,http://1.202.9.192:8888/udp/225.1.8.88:8000,0.9296
CCTV3,http://221.219.101.215:8012/rtp/239.3.1.172:8001,0.929
CCTV3,http://114.252.237.19:8000/rtp/239.3.1.172:8001,0.9221
CCTV3,http://114.249.217.126:8888/rtp/239.3.1.172:8001,0.9193
CCTV3,http://222.129.32.50:58888/rtp/239.3.1.172:8001,0.9047
CCTV3,http://114.249.217.126:8888/rtp/239.3.1.172:8001,0.9021
CCTV3,http://222.129.32.10:8888/rtp/239.3.1.172:8001,0.8943
CCTV3,http://wg.mxmy.net:8888/rtp/239.3.1.172:8001,0.8861
CCTV3,http://114.254.189.79:9999/rtp/239.3.1.172:8001,0.8839
CCTV3,http://222.129.36.235:9001/rtp/239.3.1.172:8001,0.8517
CCTV3,http://61.48.28.175:8180/rtp/239.3.1.172:8001,0.8358
CCTV3,http://111.193.234.141:8888/rtp/239.3.1.172:8001,0.8312
CCTV3,http://123.121.216.27:8180/rtp/239.3.1.172:8001,0.8271
CCTV3,http://114.254.219.197:8000/rtp/239.3.1.172:8001,0.8104
CCTV3,http://114.243.107.120:4000/rtp/239.3.1.172:8001,0.7979
CCTV3,http://sweetown.fun:4000/rtp/239.3.1.172:8001,0.7909
CCTV3,http://1.203.76.226:7788/udp/225.1.8.88:8000,0.7882
CCTV3,http://114.246.183.121:4022/rtp/239.3.1.172:8001,0.7625
CCTV3,http://123.121.216.27:8180/rtp/239.3.1.172:8001,0.7556
CCTV3,http://222.129.32.50:58888/rtp/239.3.1.172:8001,0.7399
CCTV3,http://sweetown.fun:4000/rtp/239.3.1.172:8001,0.7199
CCTV3,http://114.254.209.157:8888/rtp/239.3.1.172:8001,0.7053
CCTV3,http://114.252.237.19:8000/rtp/239.3.1.172:8001,0.6799
CCTV3,http://123.118.59.198:8888/rtp/239.3.1.172:8001,0.6397
CCTV3,http://114.254.88.16:2222/rtp/239.3.1.172:8001,0.6319
CCTV3,http://114.253.218.94:5400/rtp/239.3.1.172:8001,0.6151
CCTV3,http://61.48.28.175:8180/rtp/239.3.1.172:8001,0.5477
CCTV3,http://111.193.234.141:8888/rtp/239.3.1.172:8001,0.5394
CCTV3,http://111.196.185.170:5555/rtp/239.3.1.172:8001,0.5205
CCTV3,http://222.129.32.10:8888/rtp/239.3.1.172:8001,0.5173
CCTV3,http://111.196.185.170:5555/rtp/239.3.1.172:8001,0.4903
CCTV3,http://125.34.18.98:8888/rtp/239.3.1.172:8001,0.4772
CCTV3,http://114.254.219.197:8000/rtp/239.3.1.172:8001,0.4723
CCTV3,http://1.203.76.226:7788/udp/225.1.8.88:8000,0.448
CCTV3,http://114.254.88.16:2222/rtp/239.3.1.172:8001,0.4251
CCTV3,http://125.34.18.98:8888/rtp/239.3.1.172:8001,0.3838
CCTV3,http://120.244.86.221:9999/udp/228.1.1.191:8002,0.3793
CCTV3,http://114.254.81.86:2222/rtp/239.3.1.172:8001,0.3646
CCTV3,http://111.197.224.161:4022/rtp/239.3.1.172:8001,0.3607
CCTV3,http://114.253.218.94:5400/rtp/239.3.1.172:8001,0.3475
CCTV3,http://1.202.9.192:8888/udp/225.1.8.92:8000,0.3393
CCTV3,http://114.254.86.80:2222/rtp/239.3.1.172:8001,0.3386
CCTV3,http://wg.mxmy.net:8888/rtp/239.3.1.172:8001,0.3374
CCTV3,http://114.249.27.188:6000/rtp/239.3.1.172:8001,0.3237
CCTV3,http://1.202.9.192:8888/udp/225.1.8.92:8000,0.2668
CCTV3,http://123.118.59.198:8888/rtp/239.3.1.172:8001,0.2378
CCTV4K,http://120.244.86.221:9999/udp/228.1.1.227:2000,2.9533
CCTV4K,http://www.ogrehq.com:4022/udp/228.1.1.227:2000,1.8058
CCTV4K,http://www.ogrehq.com:4022/udp/228.1.1.227:2000,1.6619
CCTV4欧洲,http://111.192.187.92:8012/rtp/239.3.1.213:4220,0.9584
CCTV4,http://124.64.236.210:8012/rtp/239.3.1.105:8092,0.9581
CCTV4欧洲,http://111.192.187.92:8012/rtp/239.3.1.213:4220,0.9581
CCTV4,http://111.192.187.92:8012/rtp/239.3.1.105:8092,0.9577
CCTV4,http://114.254.209.157:8888/rtp/239.3.1.105:8092,0.9577
CCTV4,http://111.193.234.141:8888/rtp/239.3.1.105:8092,0.9575
CCTV4,http://123.113.237.79:8888/rtp/239.3.1.105:8092,0.9572
CCTV4,http://124.64.236.210:8012/rtp/239.3.1.105:8092,0.9572
CCTV4,http://222.129.138.133:4088/rtp/239.3.1.105:8092,0.9572
CCTV4美洲,http://111.192.187.92:8012/rtp/239.3.1.214:4220,0.9569
CCTV4,http://222.129.138.133:4088/rtp/239.3.1.105:8092,0.9568
CCTV4,http://111.192.187.92:8012/rtp/239.3.1.105:8092,0.9566
CCTV4美洲,http://221.219.101.215:8012/rtp/239.3.1.214:4220,0.9561
CCTV4欧洲,http://114.253.218.94:5400/rtp/239.3.1.213:4220,0.9555
CCTV4,http://124.65.5.85:20000/rtp/239.3.1.105:8092,0.9554
CCTV4,http://124.65.5.85:20000/rtp/239.3.1.105:8092,0.9552
CCTV4美洲,http://111.192.187.92:8012/rtp/239.3.1.214:4220,0.9551
CCTV4欧洲,http://124.65.5.85:20000/rtp/239.3.1.213:4220,0.9549
CCTV4,http://123.113.237.79:8888/rtp/239.3.1.105:8092,0.9547
CCTV4美洲,http://114.252.237.19:8000/rtp/239.3.1.214:4220,0.9545
CCTV4,http://114.246.183.121:4022/rtp/239.3.1.105:8092,0.9543
CCTV4美洲,http://114.252.237.19:8000/rtp/239.3.1.214:4220,0.9542
CCTV4欧洲,http://120.244.86.221:9999/udp/228.1.1.213:4220,0.9539
CCTV4美洲,http://114.243.107.120:4000/rtp/239.3.1.214:4220,0.9534
CCTV4欧洲,http://124.65.5.85:20000/rtp/239.3.1.213:4220,0.9533
CCTV4,http://111.193.234.141:8888/rtp/239.3.1.105:8092,0.9527
CCTV4,http://222.129.32.10:8888/rtp/239.3.1.105:8092,0.9523
CCTV4美洲,http://124.65.5.85:20000/rtp/239.3.1.214:4220,0.9523
CCTV4美洲,http://222.129.32.10:8888/rtp/239.3.1.214:4220,0.9522
CCTV4,http://120.244.86.221:9999/udp/228.1.1.25:8092,0.9498
CCTV4欧洲,http://wg.mxmy.net:8888/rtp/239.3.1.213:4220,0.9473
CCTV4美洲,http://124.65.5.85:20000/rtp/239.3.1.214:4220,0.9469
CCTV4美洲,http://www.ogrehq.com:4022/udp/228.1.1.203:4220,0.9464
CCTV4欧洲,http://www.ogrehq.com:4022/udp/228.1.1.213:4220,0.9462
CCTV4,http://1.202.9.192:8888/udp/225.1.8.4:8092,0.9461
CCTV4,http://www.ogrehq.com:4022/udp/228.1.1.25:8092,0.9451
CCTV4欧洲,http://www.ogrehq.com:4022/udp/228.1.1.213:4220,0.9442
CCTV4,http://221.219.101.215:8012/rtp/239.3.1.105:8092,0.9415
CCTV4欧洲,http://114.243.107.120:4000/rtp/239.3.1.213:4220,0.9404
CCTV4美洲,http://www.ogrehq.com:4022/udp/228.1.1.203:4220,0.9404
CCTV4,http://114.249.217.126:8888/rtp/239.3.1.105:8092,0.9402
CCTV4,http://114.249.217.126:8888/rtp/239.3.1.105:8092,0.9377
CCTV4欧洲,http://114.253.218.94:5400/rtp/239.3.1.213:4220,0.9375
CCTV4,http://111.197.224.161:4022/rtp/239.3.1.105:8092,0.9369
CCTV4美洲,http://sweetown.fun:4000/rtp/239.3.1.214:4220,0.9368
CCTV4,http://www.ogrehq.com:4022/udp/228.1.1.25:8092,0.9345
CCTV4美洲,http://111.193.234.141:8888/rtp/239.3.1.214:4220,0.9244
CCTV4欧洲,http://222.129.32.50:58888/rtp/239.3.1.213:4220,0.9242
CCTV4美洲,http://120.244.86.221:9999/udp/228.1.1.203:4220,0.9223
CCTV4,http://111.197.224.161:4022/rtp/239.3.1.105:8092,0.9184
CCTV4,http://221.219.101.215:8012/rtp/239.3.1.105:8092,0.9166
CCTV4,http://114.254.189.79:9999/rtp/239.3.1.105:8092,0.9075
CCTV4,http://114.246.183.121:4022/rtp/239.3.1.105:8092,0.8876
CCTV4美洲,http://114.254.189.79:9999/rtp/239.3.1.214:4220,0.871
CCTV4美洲,http://114.254.189.79:9999/rtp/239.3.1.214:4220,0.8693
CCTV4欧洲,http://114.254.189.79:9999/rtp/239.3.1.213:4220,0.8631
CCTV4欧洲,http://114.254.189.79:9999/rtp/239.3.1.213:4220,0.8571
CCTV4,http://1.202.9.192:8888/udp/225.1.8.4:8092,0.8506
CCTV4美洲,http://114.254.209.157:8888/rtp/239.3.1.214:4220,0.8506
CCTV4,http://114.252.237.19:8000/rtp/239.3.1.105:8092,0.8505
CCTV4,http://123.121.216.27:8180/rtp/239.3.1.105:8092,0.8492
CCTV4,http://sweetown.fun:4000/rtp/239.3.1.105:8092,0.8472
CCTV4,http://114.252.237.19:8000/rtp/239.3.1.105:8092,0.8405
CCTV4美洲,http://125.34.18.98:8888/rtp/239.3.1.214:4220,0.8325
CCTV4欧洲,http://114.254.209.157:8888/rtp/239.3.1.213:4220,0.8232
CCTV4,http://222.129.32.50:58888/rtp/239.3.1.105:8092,0.8007
CCTV4,http://114.243.107.120:4000/rtp/239.3.1.105:8092,0.778
CCTV4欧洲,http://114.249.217.126:8888/rtp/239.3.1.213:4220,0.7514
CCTV4欧洲,http://sweetown.fun:4000/rtp/239.3.1.213:4220,0.7435
CCTV4,http://114.243.107.120:4000/rtp/239.3.1.105:8092,0.7376
CCTV4欧洲,http://114.254.209.157:8888/rtp/239.3.1.213:4220,0.7325
CCTV4美洲,http://114.254.219.197:8000/rtp/239.3.1.214:4220,0.7103
CCTV4欧洲,http://114.249.217.126:8888/rtp/239.3.1.213:4220,0.7093
CCTV4美洲,http://114.254.209.157:8888/rtp/239.3.1.214:4220,0.6979
CCTV4,http://114.254.219.197:8000/rtp/239.3.1.105:8092,0.6834
CCTV4美洲,http://114.249.217.126:8888/rtp/239.3.1.214:4220,0.6801
CCTV4美洲,http://114.249.217.126:8888/rtp/239.3.1.214:4220,0.6732
CCTV4,http://222.129.32.50:58888/rtp/239.3.1.105:8092,0.6671
CCTV4,http://222.129.36.235:9001/rtp/239.3.1.105:8092,0.6616
CCTV4美洲,http://111.196.185.170:5555/rtp/239.3.1.214:4220,0.6521
CCTV4欧洲,http://125.34.18.98:8888/rtp/239.3.1.213:4220,0.6443
